Campaign_ID,Platform,Campaign_Name,Start_Date,End_Date,Budget_Spent,Impressions,Clicks,Engagement_Rate,Notes,Target_Audience
5056,Twitter,Brand Awareness,"Jan 28, 2024","Jan 28, 2024",26048.69,937281,18310,7.66,,Youth
5057,Instagram,Product Spotlight,04/02/2024,04/02/2024,17275.73,326855,10384,4.53,,General Public
5058,YouTube,Product Spotlight,"Feb 11, 2024","Feb 11, 2024",25859.81,177403,3223,7.92,Base find say.,General Public
5059,YouTube,Product Spotlight,"Feb 18, 2024","Feb 18, 2024",44952.71,266392,5261,6.22,,Youth
5060,Facebook,New Launch,2024-02-25,2024-02-25,25480.59,30968,8130,1.22,,Adults
5061,Twitter,Sale Promo,"Mar 03, 2024","Mar 03, 2024",30016.04,457185,16875,1.65,Company way president test environment western.,General Public
5062,Instagram,Brand Awareness,"Mar 10, 2024","Mar 10, 2024",23178.93,244417,42009,4.43,,Tech Enthusiasts
5063,LinkedIn,New Launch,"Mar 17, 2024","Mar 17, 2024",25705.27,545580,25718,4.03,,General Public
5064,Twitter,Brand Awareness,2024-03-24,2024-03-24,5682.84,786230,31065,7.46,,General Public
5065,Facebook,New Launch,2024-03-31,2024-03-31,17768.55,968298,37618,5.85,,Youth
5066,YouTube,Product Spotlight,2024-04-07,2024-04-07,24646.18,351603,33475,3.94,,Tech Enthusiasts
5067,Instagram,Brand Awareness,2024-04-14,2024-04-14,33520.86,783292,27573,1.79,,Adults
5068,Twitter,Product Spotlight,21/04/2024,21/04/2024,25252.34,846624,4690,2.35,,Adults
5069,LinkedIn,Brand Awareness,"Apr 28, 2024","Apr 28, 2024",20201.77,955207,2383,5.8,,Tech Enthusiasts
5070,Facebook,Festival Discount,2024-05-05,,22464.44,618481,3386,4.29,Enjoy describe card though.,General Public
5071,Facebook,New Launch,12/05/2024,12/05/2024,15903.2,603453,9453,5.2,Factor face series east billion note.,Youth
5072,Twitter,Festival Discount,"May 19, 2024","May 19, 2024",46602.24,864082,8881,1.79,,Tech Enthusiasts
5073,LinkedIn,New Launch,"May 26, 2024","May 26, 2024",28478.45,984020,23738,6.66,,Tech Enthusiasts
5074,Facebook,Sale Promo,2024-06-02,2024-06-02,5603.43,503197,14295,8.54,,Adults
5075,Instagram,Brand Awareness,2024-06-09,2024-06-09,5875.08,926290,30928,2.65,,Youth
5076,Facebook,Sale Promo,"Jun 16, 2024","Jun 16, 2024",48783.27,635686,10138,4.97,,Tech Enthusiasts
5077,LinkedIn,Sale Promo,"Jun 23, 2024","Jun 23, 2024",14965.29,756470,5431,9.76,,Youth
5078,YouTube,New Launch,30/06/2024,30/06/2024,41252.37,894317,43123,3.4,,General Public
5079,YouTube,Festival Discount,07/07/2024,07/07/2024,7622.39,163329,38992,5.99,,Adults
5080,Twitter,Product Spotlight,14/07/2024,14/07/2024,46452.32,110588,26911,0.99,Parent specific instead factor party.,General Public
5081,LinkedIn,New Launch,21/07/2024,21/07/2024,44348.77,375500,45688,6.1,,Youth
5082,Facebook,Product Spotlight,2024-07-28,2024-07-28,30699.19,787110,21034,0.99,,General Public
5083,Facebook,Sale Promo,2024-08-04,2024-08-04,5404.94,534186,37328,9.6,,Adults
5084,YouTube,Product Spotlight,11/08/2024,11/08/2024,16601.49,879941,29681,7.19,Nearly she physical concern others.,Youth
5085,YouTube,Festival Discount,2024-08-18,2024-08-18,23307.02,756633,38033,7.9,,Tech Enthusiasts
5086,Instagram,New Launch,2024-08-25,2024-08-25,25702.89,323816,20496,7.07,,General Public
5087,YouTube,Festival Discount,2024-09-01,2024-09-01,18395.54,990812,7053,5.94,,Adults
5088,Instagram,Festival Discount,08/09/2024,08/09/2024,6482.65,742943,40646,4.55,,Tech Enthusiasts
5089,Facebook,New Launch,2024-09-15,2024-09-15,31555.73,522552,18573,8.6,,Adults
5090,Instagram,Festival Discount,"Sep 22, 2024","Sep 22, 2024",28586.96,294257,7630,9.57,,Youth
5091,Instagram,Brand Awareness,2024-09-29,2024-09-29,17735.03,272838,29905,5.04,,Youth
5092,Twitter,Brand Awareness,"Oct 06, 2024","Oct 06, 2024",6708.92,25588,36454,9.32,Each off spend.,General Public
5093,YouTube,Brand Awareness,2024-10-13,2024-10-13,49756.74,727116,6289,5.87,,Adults
5094,Instagram,Product Spotlight,20/10/2024,20/10/2024,26689.38,467301,29430,5.43,,Adults
5095,Facebook,Festival Discount,27/10/2024,27/10/2024,39020.19,776719,49390,4.6,,Adults
5096,LinkedIn,New Launch,2024-11-03,2024-11-03,25354.13,255456,18029,2.17,Grow enough doctor generation.,Youth
5097,Instagram,New Launch,10/11/2024,10/11/2024,6942.66,726502,8442,0.14,Great understand be amount bar when.,General Public
5098,YouTube,Product Spotlight,17/11/2024,17/11/2024,18932.03,74373,8048,2.49,,Adults
5099,Twitter,New Launch,24/11/2024,24/11/2024,19404.96,882035,18796,5.15,Third drop low no term technology.,Adults
5100,Facebook,Brand Awareness,01/12/2024,01/12/2024,42725.88,540992,32744,3.86,Fight with around leg describe.,Tech Enthusiasts
5101,Twitter,Festival Discount,2024-12-08,2024-12-08,34440.35,50136,796,4.54,,Adults
5102,LinkedIn,New Launch,15/12/2024,15/12/2024,17394.35,601795,2909,9.81,,General Public
5103,Instagram,New Launch,"Dec 22, 2024","Dec 22, 2024",48548.3,57361,34729,3.57,,Tech Enthusiasts
5104,Instagram,Sale Promo,29/12/2024,29/12/2024,19469.38,855279,31346,4.58,,Tech Enthusiasts
5105,YouTube,Sale Promo,05/01/2025,05/01/2025,49920.53,902791,35536,1.42,Seem friend involve information movie though case.,Tech Enthusiasts
5106,Instagram,Sale Promo,2025-01-12,2025-01-12,49827.37,152513,39822,0.57,,Youth
5107,Facebook,Festival Discount,2025-01-19,2025-01-19,13604.47,391050,49659,7.78,,Tech Enthusiasts
5108,LinkedIn,Brand Awareness,26/01/2025,26/01/2025,19073.35,24677,27667,5.75,Us or kid side great rather.,Adults
5109,Twitter,Brand Awareness,02/02/2025,02/02/2025,26871.99,824250,29491,7.63,Challenge drug serve room same.,Youth
5110,LinkedIn,Brand Awareness,2025-02-09,2025-02-09,34884.53,274012,18301,1.58,Glass cup ever lot.,Youth
5111,Instagram,Festival Discount,"Feb 16, 2025","Feb 16, 2025",28762.14,617879,7858,5.76,,Youth
5112,Twitter,Festival Discount,23/02/2025,23/02/2025,48624.87,920394,23088,2.61,,Youth
5113,YouTube,Sale Promo,02/03/2025,02/03/2025,37579.51,339408,18171,2.36,,Youth
5114,LinkedIn,New Launch,09/03/2025,09/03/2025,14542.02,607456,18002,0.21,Both affect after song.,Youth
5115,Twitter,Product Spotlight,"Mar 16, 2025","Mar 16, 2025",9729.39,677403,25628,1.39,,Youth
5116,Twitter,Product Spotlight,2025-03-23,2025-03-23,35978.06,81939,32145,3.16,,Tech Enthusiasts
5117,Twitter,New Launch,"Mar 30, 2025","Mar 30, 2025",12130.36,287876,8137,1.26,,General Public
5118,Facebook,Sale Promo,06/04/2025,06/04/2025,40445.46,851676,1160,9.86,Still thank continue particular toward score.,Adults
5119,LinkedIn,New Launch,13/04/2025,13/04/2025,18996.65,421742,42175,3.16,College least agency.,Adults
5120,Twitter,New Launch,20/04/2025,20/04/2025,19710.2,805772,7422,1.39,Information old central say term read artist.,Tech Enthusiasts
5121,LinkedIn,Product Spotlight,"Apr 27, 2025","Apr 27, 2025",5485.93,769848,28661,2.07,,Tech Enthusiasts
5122,Twitter,Sale Promo,"May 04, 2025","May 04, 2025",36545.51,818826,45221,5.92,,Youth
5123,YouTube,Festival Discount,"May 11, 2025","May 11, 2025",10097.14,370701,4470,0.73,,General Public
5124,YouTube,Product Spotlight,"May 18, 2025","May 18, 2025",39779.63,145174,3907,8.64,Weight lawyer art fight arm wish condition.,Youth
5125,YouTube,Festival Discount,25/05/2025,25/05/2025,27134.05,505062,28343,9.62,Condition lose environmental born child item do.,Tech Enthusiasts
5126,Instagram,Sale Promo,"Jun 01, 2025","Jun 01, 2025",40292.59,553447,9546,2.54,,Youth
5127,Twitter,New Launch,"Jun 08, 2025","Jun 08, 2025",31276.69,132366,24300,4.56,Him court draw personal.,Adults
5128,Instagram,Brand Awareness,15/06/2025,15/06/2025,8709.5,206164,15047,0.32,,Adults
5129,LinkedIn,Brand Awareness,2025-06-22,2025-06-22,39454.36,802644,38028,6.44,,Youth
5130,Instagram,Sale Promo,"Jun 29, 2025","Jun 29, 2025",8140.98,500576,31889,4.2,Do between moment born her church represent.,General Public
5131,LinkedIn,Brand Awareness,06/07/2025,06/07/2025,26541.58,833837,30846,2.77,,Youth
5132,LinkedIn,Festival Discount,2025-07-13,2025-07-13,12755.71,402776,23248,2.15,Plan score better able positive maintain wind.,Youth
5133,LinkedIn,Brand Awareness,"Jul 20, 2025","Jul 20, 2025",38855.08,349205,46733,6.57,Agreement among serious east admit.,General Public
5134,Instagram,Sale Promo,27/07/2025,27/07/2025,46021.61,366440,37355,4.22,,General Public
5135,Twitter,Sale Promo,2025-08-03,2025-08-03,29935.68,851618,26348,1.88,,General Public
5136,Instagram,Festival Discount,2025-08-10,2025-08-10,28721.63,971743,8107,6.92,,Adults
5137,Twitter,Brand Awareness,17/08/2025,17/08/2025,39378.34,776164,37287,5.69,,Youth
5138,Twitter,Brand Awareness,24/08/2025,24/08/2025,5228.55,758353,34083,8.6,,Tech Enthusiasts
5139,LinkedIn,New Launch,2025-08-31,2025-08-31,46299.14,395289,13063,1.26,Administration walk scene growth relationship.,General Public
5140,Instagram,Product Spotlight,07/09/2025,07/09/2025,13885.2,516767,46560,7.88,,General Public
5141,Twitter,Sale Promo,14/09/2025,14/09/2025,49285.35,544820,49426,6.77,,Youth
5142,YouTube,New Launch,21/09/2025,21/09/2025,38131.43,220126,34190,1.24,Treatment onto save certainly stand enjoy.,Tech Enthusiasts
5143,Twitter,Sale Promo,2025-09-28,2025-09-28,39841.3,999516,46197,6.98,Spring once today attorney note score seek thing.,Youth
5144,YouTube,New Launch,2025-10-05,2025-10-05,34529.13,226351,29676,4.47,East we truth put and.,Youth
5145,Instagram,Product Spotlight,2025-10-12,2025-10-12,26224.84,338684,15425,9.46,,General Public
5146,Instagram,New Launch,"Oct 19, 2025","Oct 19, 2025",30723.25,113021,21751,1.5,Leader event particularly admit happen change.,General Public
5147,Instagram,Sale Promo,"Oct 26, 2025","Oct 26, 2025",7088.13,799703,18148,6.46,,Adults
5148,Twitter,Brand Awareness,"Nov 02, 2025","Nov 02, 2025",33078.18,972986,20608,3.88,,Tech Enthusiasts
5149,Facebook,Sale Promo,2025-11-09,2025-11-09,33174.41,10209,11479,9.57,,Tech Enthusiasts
5150,Twitter,Festival Discount,16/11/2025,16/11/2025,,232071,3222,3.37,Guess wind administration writer.,General Public
5151,Twitter,Festival Discount,23/11/2025,23/11/2025,27754.54,670899,5855,9.63,,General Public
5152,LinkedIn,Festival Discount,30/11/2025,30/11/2025,8471.5,816409,46569,9.02,Involve apply instead technology standard allow.,General Public
5153,LinkedIn,Festival Discount,2025-12-07,2025-12-07,18778.82,215214,29299,2.78,War fight financial cover walk million.,Tech Enthusiasts
5154,Twitter,Product Spotlight,14/12/2025,14/12/2025,34503.32,119920,35818,8.06,,Adults
5155,YouTube,Brand Awareness,2025-12-21,2025-12-21,15766.65,400300,33205,9.96,Soldier health together including similar structure.,Tech Enthusiasts
5156,LinkedIn,Brand Awareness,2025-12-28,2025-12-28,17623.75,371732,44409,2.6,,General Public
5157,Twitter,Sale Promo,2026-01-04,2026-01-04,41921.11,340828,23570,4.42,,General Public
5158,Facebook,New Launch,2026-01-11,2026-01-11,31294.39,240144,11784,5.25,,Adults
5159,YouTube,Sale Promo,"Jan 18, 2026","Jan 18, 2026",27883.73,920294,22237,3.02,Reality statement room gas hit.,Youth
5160,Instagram,Sale Promo,"Jan 25, 2026","Jan 25, 2026",19330.34,277751,23741,0.25,Any light one success.,Youth
5161,Twitter,Sale Promo,"Feb 01, 2026","Feb 01, 2026",37891.76,226194,27914,2.28,,Tech Enthusiasts
5162,Twitter,Sale Promo,"Feb 08, 2026","Feb 08, 2026",17947.33,366930,21395,2.89,,Youth
5163,YouTube,Brand Awareness,2026-02-15,2026-02-15,38167.86,398550,27271,4.49,Almost rock section.,Youth
5164,LinkedIn,New Launch,"Feb 22, 2026","Feb 22, 2026",8154.57,193011,1884,1.79,,Tech Enthusiasts
5165,LinkedIn,Sale Promo,"Mar 01, 2026","Mar 01, 2026",43904.36,683954,23189,8.75,,General Public
5166,LinkedIn,Brand Awareness,08/03/2026,08/03/2026,27480.49,461598,27975,7.08,,Youth
5167,Instagram,Sale Promo,2026-03-15,2026-03-15,24732.86,17399,8752,0.94,,General Public
5168,YouTube,Festival Discount,2026-03-22,2026-03-22,32496.05,524242,31344,6.54,Total key participant care think raise value.,Tech Enthusiasts
5169,YouTube,Sale Promo,2026-03-29,2026-03-29,33088.64,661100,30651,6.57,,General Public
5170,LinkedIn,Sale Promo,2026-04-05,2026-04-05,10941.58,952621,40506,9.57,,General Public
5171,LinkedIn,Product Spotlight,2026-04-12,2026-04-12,39030.51,108662,23865,0.13,,Tech Enthusiasts
5172,Facebook,Festival Discount,19/04/2026,19/04/2026,17416.77,305761,6526,2.55,,General Public
5173,Facebook,New Launch,26/04/2026,26/04/2026,45723.28,672858,33267,9.29,Themselves part military billion brother the.,Youth
5174,Twitter,Sale Promo,2026-05-03,2026-05-03,41803.28,899258,29023,9.33,,Youth
5175,Twitter,New Launch,10/05/2026,10/05/2026,20581.97,782592,10982,7.23,,Youth
5176,YouTube,Festival Discount,17/05/2026,17/05/2026,41348.27,926283,47069,7.68,,Youth
5177,YouTube,Sale Promo,24/05/2026,24/05/2026,21037.57,383221,49388,1.01,,General Public
5178,Instagram,Product Spotlight,31/05/2026,31/05/2026,9542.65,847056,48848,5.19,,Youth
5179,Instagram,Brand Awareness,07/06/2026,07/06/2026,48284.97,806060,41932,2.39,,General Public
5180,Facebook,Product Spotlight,2026-06-14,2026-06-14,34367.09,403545,25608,1.89,Though boy hundred alone fight training according miss.,Adults
5181,Twitter,Product Spotlight,"Jun 21, 2026","Jun 21, 2026",25524.48,310763,993,8.12,Something open pass party pass what rate serve.,General Public
5182,Facebook,Brand Awareness,"Jun 28, 2026","Jun 28, 2026",22899.8,17032,16965,1.44,,Youth
5183,Facebook,Brand Awareness,2026-07-05,2026-07-05,19611.74,713454,40267,4.74,Him far respond.,Adults
5184,Twitter,Brand Awareness,12/07/2026,12/07/2026,49165.14,310178,30050,9.39,,Tech Enthusiasts
5185,Instagram,Sale Promo,2026-07-19,2026-07-19,11063.63,636946,14333,1.94,,General Public
5186,Twitter,New Launch,"Jul 26, 2026","Jul 26, 2026",19166.23,917555,3470,9.78,Upon good majority second.,Youth
5187,LinkedIn,New Launch,2026-08-02,2026-08-02,26847.39,525882,33279,9.94,,Youth
5188,LinkedIn,Brand Awareness,09/08/2026,09/08/2026,26509.98,882590,30458,5.6,,Youth
5189,LinkedIn,Product Spotlight,"Aug 16, 2026","Aug 16, 2026",26211.49,589552,48819,1.78,,Tech Enthusiasts
5190,YouTube,Festival Discount,"Aug 23, 2026","Aug 23, 2026",12910.27,628408,17645,3.23,Stuff somebody group star increase.,Adults
5191,Instagram,Brand Awareness,2026-08-30,2026-08-30,11521.96,57850,36453,4.3,,Adults
5192,Instagram,Product Spotlight,"Sep 06, 2026","Sep 06, 2026",16464.54,539010,49677,3.16,Cultural coach market recent piece actually.,Youth
5193,YouTube,Product Spotlight,"Sep 13, 2026","Sep 13, 2026",46153.68,289916,2306,2.88,Report stay who attorney.,General Public
5194,Facebook,Sale Promo,20/09/2026,20/09/2026,10087.38,358249,6164,9.73,,Youth
5195,LinkedIn,Sale Promo,2026-09-27,2026-09-27,39084.13,444895,29400,1.62,Ground begin listen.,Youth
5196,LinkedIn,New Launch,"Oct 04, 2026","Oct 04, 2026",39089.68,996275,14626,7.36,,General Public
5197,Facebook,New Launch,11/10/2026,11/10/2026,41439.67,14576,46162,0.1,,Youth
5198,Twitter,Festival Discount,"Oct 18, 2026","Oct 18, 2026",44897.7,692067,5654,6.0,Good involve camera popular.,Tech Enthusiasts
5199,Twitter,Festival Discount,2026-10-25,2026-10-25,16836.63,371548,22708,9.17,,Youth
5200,Instagram,Festival Discount,"Nov 01, 2026","Nov 01, 2026",15105.18,444848,14267,2.95,Wind around need drop collection candidate base measure.,Tech Enthusiasts
5201,YouTube,Festival Discount,"Nov 08, 2026","Nov 08, 2026",25947.75,575764,20543,1.94,,Youth
5202,Instagram,Product Spotlight,15/11/2026,15/11/2026,16929.01,258292,48494,6.55,Food feeling fine power week well theory.,Adults
5203,Twitter,Product Spotlight,"Nov 22, 2026","Nov 22, 2026",38043.95,433501,2025,7.15,,General Public
5204,Facebook,New Launch,"Nov 29, 2026","Nov 29, 2026",33617.28,820586,34028,6.91,,Adults
5205,Instagram,Sale Promo,06/12/2026,06/12/2026,44374.45,423270,17478,3.26,,Youth
5206,LinkedIn,Sale Promo,"Dec 13, 2026","Dec 13, 2026",8723.22,289309,47148,2.6,,Youth
5207,LinkedIn,Brand Awareness,"Dec 20, 2026","Dec 20, 2026",46178.75,24439,1555,9.56,,Tech Enthusiasts
5208,Facebook,Product Spotlight,2026-12-27,2026-12-27,18200.69,390355,10546,9.24,,Youth
5209,Twitter,Festival Discount,"Jan 03, 2027","Jan 03, 2027",27081.25,578806,36351,4.63,Indeed answer including tell story word.,Youth
5210,LinkedIn,Festival Discount,"Jan 10, 2027","Jan 10, 2027",24737.51,229123,16178,8.48,,Youth
5211,LinkedIn,Brand Awareness,17/01/2027,17/01/2027,39214.02,561250,45376,4.58,,Adults
5212,YouTube,Sale Promo,2027-01-24,2027-01-24,23915.0,981438,27124,4.3,Nearly crime two power chance occur.,Tech Enthusiasts
5213,Instagram,Festival Discount,"Jan 31, 2027","Jan 31, 2027",47459.89,773445,42918,1.65,,Adults
5214,Twitter,Sale Promo,07/02/2027,07/02/2027,45614.02,309907,39225,4.32,,Tech Enthusiasts
5215,Instagram,Brand Awareness,"Feb 14, 2027","Feb 14, 2027",44247.25,126189,5755,5.42,Continue together find issue.,Adults
5216,Twitter,Sale Promo,2027-02-21,2027-02-21,8206.62,120290,9911,0.32,Cell cause pull difference control when begin.,Youth
5217,LinkedIn,Sale Promo,"Feb 28, 2027","Feb 28, 2027",43441.61,991598,49612,4.5,Plant cultural laugh feel.,Adults
5218,YouTube,Sale Promo,2027-03-07,2027-03-07,40173.6,907246,42959,7.84,Remember either operation process security stay.,Adults
5219,Instagram,Festival Discount,2027-03-14,2027-03-14,9658.08,815896,36663,6.83,,Tech Enthusiasts
5220,LinkedIn,New Launch,21/03/2027,21/03/2027,9833.64,969540,34471,6.39,,Tech Enthusiasts
5221,Twitter,Product Spotlight,28/03/2027,28/03/2027,9552.37,133980,31735,9.1,Door ground interest sister fast reach but certain.,Adults
5222,Instagram,Sale Promo,"Apr 04, 2027","Apr 04, 2027",5509.97,237021,19694,0.28,,Tech Enthusiasts
5223,Instagram,Sale Promo,2027-04-11,2027-04-11,29688.54,698630,19976,5.61,,Tech Enthusiasts
5224,LinkedIn,Sale Promo,2027-04-18,2027-04-18,48802.74,52299,3544,7.89,,Tech Enthusiasts
5225,Instagram,New Launch,"Apr 25, 2027","Apr 25, 2027",24740.81,751165,40540,5.46,Information low investment manage.,General Public
5226,YouTube,Brand Awareness,02/05/2027,02/05/2027,29334.09,41541,21557,3.31,,Tech Enthusiasts
5227,YouTube,Festival Discount,"May 09, 2027","May 09, 2027",48558.64,345689,4014,1.45,Mouth step talk be.,General Public
5228,LinkedIn,New Launch,"May 16, 2027","May 16, 2027",16483.2,485759,10490,8.89,Maintain mention quite money member image.,General Public
5229,Twitter,Sale Promo,2027-05-23,2027-05-23,43631.16,757358,39460,4.76,Old time often information but little why free.,Tech Enthusiasts
5230,LinkedIn,New Launch,"May 30, 2027","May 30, 2027",29587.57,139188,44035,8.79,,Adults
5231,YouTube,New Launch,"Jun 06, 2027","Jun 06, 2027",30626.44,218150,49796,5.9,,Tech Enthusiasts
5232,Facebook,New Launch,13/06/2027,13/06/2027,20442.82,486186,8007,6.77,,Youth
5233,Facebook,Brand Awareness,20/06/2027,20/06/2027,30271.3,826197,5357,8.06,,Adults
5234,Instagram,Product Spotlight,"Jun 27, 2027","Jun 27, 2027",8291.41,820201,12618,6.63,Everybody leg democratic fly cup have summer.,General Public
5235,Instagram,Festival Discount,04/07/2027,04/07/2027,39408.96,229073,3646,4.04,Against never before enter.,General Public
5236,Facebook,Brand Awareness,2027-07-11,2027-07-11,17810.95,490620,26901,5.18,Tend face something maybe out woman.,Adults
5237,YouTube,Brand Awareness,2027-07-18,2027-07-18,44942.37,554444,26677,8.05,,Adults
5238,Instagram,Product Spotlight,2027-07-25,2027-07-25,21553.28,751196,39024,3.8,Step trial research explain majority.,Tech Enthusiasts
5239,LinkedIn,Brand Awareness,01/08/2027,01/08/2027,11427.08,453697,4914,3.94,,General Public
5240,LinkedIn,New Launch,"Aug 08, 2027","Aug 08, 2027",36314.67,678795,17994,1.05,Treatment food grow popular big record.,Youth
5241,YouTube,New Launch,15/08/2027,15/08/2027,12406.02,735010,20937,9.15,Back lot place hand.,Tech Enthusiasts
5242,Instagram,Sale Promo,22/08/2027,22/08/2027,38915.62,711696,4437,1.0,,Adults
